artifactId,filePath,competitor,tool,viewport,workflowState,indexedInCSV,discrepancyResolution,notes
squoosh_01,docs/research/competitors/screenshots/squoosh/image-compression/workflow/desktop/01-landing-desktop.png,Squoosh,Image Compression,1440x1000,Landing,yes,Indexed in workspace,Landing page screenshot
squoosh_02,docs/research/competitors/screenshots/squoosh/image-compression/workflow/desktop/02-file-selected-desktop.png,Squoosh,Image Compression,1440x1000,File Selected,yes,Indexed in workspace,Loaded image editor view
squoosh_03,docs/research/competitors/screenshots/squoosh/image-compression/workflow/desktop/03-settings-desktop.png,Squoosh,Image Compression,1440x1000,Settings,yes,Indexed in workspace,WebP format selection and quality slider
squoosh_05,docs/research/competitors/screenshots/squoosh/image-compression/workflow/desktop/05-result-desktop.png,Squoosh,Image Compression,1440x1000,Result,yes,Indexed in workspace,Compression metric output (862 kB / 704 kB)
squoosh_07,docs/research/competitors/screenshots/squoosh/image-compression/workflow/mobile/07-mobile-workflow.png,Squoosh,Image Compression,375x812,Mobile,yes,Indexed in workspace,Vertical split slider on 375x812 viewport
pdf24_01,docs/research/competitors/screenshots/pdf24/organize-pdf/workflow/desktop/01-landing-desktop.png,PDF24 Tools,PDF Organization,1440x1000,Landing,yes,Indexed in workspace,Directory homepage
pdf24_04,docs/research/competitors/screenshots/pdf24/organize-pdf/workflow/desktop/04-compress-landing.png,PDF24 Tools,PDF Compression,1440x1000,Tool Landing,yes,Indexed in workspace,Compress PDF tool landing
smallpdf_01,docs/research/competitors/screenshots/smallpdf/pdf-tools/workflow/desktop/01-landing-desktop.png,Smallpdf,PDF Tools,1440x1000,Landing,yes,Indexed in workspace,Homepage
smallpdf_04,docs/research/competitors/screenshots/smallpdf/pdf-tools/workflow/desktop/04-compress-landing.png,Smallpdf,PDF Compression,1440x1000,Tool Landing,yes,Indexed in workspace,Compress PDF tool landing
cloudconvert_01,docs/research/competitors/screenshots/cloudconvert/format-conversion/workflow/desktop/01-landing-desktop.png,CloudConvert,Format Conversion,1440x1000,Landing,yes,Indexed in workspace,Homepage format selector node
cloudconvert_04,docs/research/competitors/screenshots/cloudconvert/format-conversion/workflow/desktop/04-landing.png,CloudConvert,Format Conversion,1440x1000,Tool Landing,yes,Indexed in workspace,PDF to DOCX tool page
pdfaid_01,docs/research/competitors/screenshots/pdfaid/pdf-tools/workflow/desktop/01-landing-desktop.png,PDFAid,PDF Converter,1440x1000,Landing,yes,Indexed in workspace,Asymmetric 2-column hero
pdfaid_04,docs/research/competitors/screenshots/pdfaid/pdf-tools/workflow/desktop/04-compress-landing.png,PDFAid,PDF Compression,1440x1000,Tool Landing,yes,Indexed in workspace,Compress PDF tool page
ilovepdf_01,docs/research/competitors/screenshots/ilovepdf/pdf-tools/workflow/desktop/01-landing-desktop.png,iLovePDF,PDF Tools,1440x1000,Landing,yes,Indexed in workspace,Homepage card grid
adobe_01,docs/research/competitors/screenshots/adobe-acrobat/pdf-tools/workflow/desktop/01-landing-desktop.png,Adobe Acrobat,PDF Tools,1440x1000,Landing,yes,Indexed in workspace,Corporate red hero
freeconvert_01,docs/research/competitors/screenshots/freeconvert/format-conversion/workflow/desktop/01-landing-desktop.png,FreeConvert,Format Conversion,1440x1000,Landing,yes,Indexed in workspace,Dropzone flanked by ads
tinywow_01,docs/research/competitors/screenshots/tinywow/micro-tools/workflow/desktop/01-landing-desktop.png,TinyWow,Micro Tools,1440x1000,Landing,yes,Indexed in workspace,Search hero and portals
zendocs_01,docs/research/competitors/screenshots/zendocs/pdf-tools/workflow/desktop/01-landing-desktop.png,ZenDocs,PDF Editor,1440x1000,Landing,yes,Indexed in workspace,100MB dropzone hero
brain_artifacts,brain/.tempmediaStorage/*.png,Various,Raw Browser Capture,Various,Raw State,no,Raw brain artifacts,70 unindexed raw browser click/media captures in brain storage
